"timestamp" "bugsigdb_signatures_genus_metaphlan_exact.gmt" "bugsigdb_signatures_genus_metaphlan.gmt" "bugsigdb_signatures_genus_ncbi_exact.gmt" "bugsigdb_signatures_genus_ncbi.gmt" "bugsigdb_signatures_genus_taxname_exact.gmt" "bugsigdb_signatures_genus_taxname.gmt" "bugsigdb_signatures_mixed_metaphlan.gmt" "bugsigdb_signatures_mixed_ncbi.gmt" "bugsigdb_signatures_mixed_taxname.gmt" "bugsigdb_signatures_species_metaphlan_exact.gmt" "bugsigdb_signatures_species_metaphlan.gmt" "bugsigdb_signatures_species_ncbi_exact.gmt" "bugsigdb_signatures_species_ncbi.gmt" "bugsigdb_signatures_species_taxname_exact.gmt" "bugsigdb_signatures_species_taxname.gmt" "exp.csv" "full_dump.csv" "sig.csv" "stud.csv"
"2026-06-28_21:18_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-28_22:16_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-28_23:18_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-29_00:19_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-29_01:38_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-29_02:55_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-29_04:31_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-29_06:26_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6081 6081 6081 6081 6081 6081 8892 15010 14181 2248
"2026-06-29_08:34_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6080 6080 6080 6080 6080 6080 8892 15010 14181 2248
"2026-06-29_10:26_UTC" 9310 9317 9310 9317 9310 9317 13421 13421 13421 6079 6079 6079 6079 6079 6079 8892 15010 14181 2248
